﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:7GbqE3MlkKosIaCvf50JRK","Lady Marmalade - From "Moulin Rouge" Soundtrack","Christina Aguilera, Lil' Kim, Mýa, P!nk","Moulin Rouge","1","2","264893","spotify:user:12169871666","2020-02-17T20:41:14Z"
"spotify:track:3wpLkju0bJy89kjgdRys0j","September","Earth, Wind & Fire","The Essential Earth, Wind & Fire","1","14","215080","spotify:user:12169871666","2020-02-17T20:41:23Z"
"spotify:track:6Od8Lm44dxDtIc8SpGtIDo","Lucky You - Remastered","The Lightning Seeds","Jollification (Remastered)","1","2","263360","spotify:user:12169871666","2020-02-26T20:50:38Z"
"spotify:track:3hnlbzC6h0GxLfVmxAG4gA","Sad Dream","Sky Ferreira","Ghost","1","1","215866","spotify:user:12169871666","2020-02-26T20:51:13Z"
"spotify:track:3SFHfGrEA7PqIu2cWDapJR","No Promises","Shayne Ward","Shayne Ward","1","2","222360","spotify:user:12169871666","2020-03-01T12:47:47Z"
"spotify:track:2AY1UAimvTqjJC8vDJsOyy","Mayores","Becky G, Bad Bunny","MALA SANTA","1","16","203186","spotify:user:12169871666","2020-03-01T13:50:38Z"
"spotify:track:3DEXQeVLM3BacRdrirHRXx","Feeling Good","Sofi Tukker","Birds of Prey: The Album","1","11","182854","spotify:user:12169871666","2020-03-01T19:58:29Z"
"spotify:track:2jX5c5RFp0A9E1GDsvGxIa","Balance ton quoi","Angèle","Brol","1","2","189480","spotify:user:12169871666","2020-03-07T09:38:09Z"
"spotify:track:1BwhFXqoIsePt21WyWIttb","I Wanna Get Better","Bleachers","Strange Desire","1","4","204520","spotify:user:12169871666","2020-03-23T21:46:07Z"
"spotify:track:38iU2jg98IZZEIJPrP7aWD","Till the World Ends","Britney Spears","Femme Fatale (Deluxe Version)","1","1","237946","spotify:user:12169871666","2020-03-26T15:20:04Z"
"spotify:track:5cCAZS9VhLGEDV4NCfieeg","I Wanna Go","Britney Spears","Femme Fatale (Deluxe Version)","1","4","210266","spotify:user:12169871666","2020-03-26T15:20:08Z"
"spotify:track:2t16D9V5FmmRAJjsSpwvZf","When I R.I.P.","Labrinth","Euphoria (Original Score from the HBO Series)","1","24","174567","spotify:user:12169871666","2020-03-29T22:39:50Z"
"spotify:track:5JvD469hg7VQu2qobOAnuy","Never Been in Love (feat. Icona Pop)","Cobra Starship, Icona Pop","Never Been in Love (feat. Icona Pop)","1","1","222713","spotify:user:12169871666","2020-04-05T22:53:04Z"
"spotify:track:2fXKyAyPrEa24c6PJyqznF","Common People","Pulp","Different Class","1","3","351626","spotify:user:12169871666","2020-04-08T21:42:21Z"
"spotify:track:40bm28QcJT5My540ymSQ2y","Untouched","The Veronicas","Hook Me Up (UK Version)","1","1","255360","spotify:user:12169871666","2020-04-15T22:19:51Z"
"spotify:track:4JFXNDchRuhicS7fh2civh","Fior Di Latte","Phoenix","Ti Amo","1","4","243733","spotify:user:12169871666","2020-04-15T22:44:17Z"
"spotify:track:6QPqf4WqwZkxM68bGipzvP","Young Blood - Acoustic","Noah Kahan","Young Blood (Acoustic)","1","1","200613","spotify:user:12169871666","2020-04-15T23:03:27Z"
"spotify:track:6Y5Z1JbkcSQ78dbxNEVgA7","We","HONEYMOAN","<​/​3 / We","1","2","270545","spotify:user:12169871666","2020-04-15T23:04:47Z"
"spotify:track:3aKrFazfGwbsGQKm8NtC5J","Under the Sun","Roosevelt","Young Romance","1","2","226586","spotify:user:12169871666","2020-04-15T23:05:23Z"
"spotify:track:45SxEKYjMjtqKnGKvEpzCO","Trash Blossoms","Petite League","Rips One into the Night","1","9","186000","spotify:user:12169871666","2020-04-15T23:05:45Z"
"spotify:track:2f0P7iELCvAlV8j6Z3rGDE","Stranglehold","Ted Nugent","Ted Nugent","1","1","503066","spotify:user:12169871666","2020-04-15T23:06:55Z"
"spotify:track:4IBL3uksmg3kUOf7iUzkpg","Really Something","Hector Gachan","Untitled '91","1","3","219100","spotify:user:12169871666","2020-04-15T23:07:53Z"
"spotify:track:1ZoqoH8kSrn4BxTkjjMKie","Question for the Angels","Paul Simon","So Beautiful or So What","1","8","229906","spotify:user:12169871666","2020-04-15T23:14:17Z"
"spotify:track:5qtMUB20QK1aLu8Wz4QCiM","Apples","Lily Allen","No Shame","1","8","219866","spotify:user:12169871666","2020-04-19T14:59:33Z"
"spotify:track:28TwQfUt2pJbmHLwoR281y","Trigger Bang (feat. Giggs)","Lily Allen, Giggs","No Shame","1","2","212146","spotify:user:12169871666","2020-04-19T14:59:38Z"
"spotify:track:1YDusPefmnJBkm9Kjn7dqY","(Joe Gets Kicked Out of School for Using) Drugs With Friends (But Says This Isn't a Problem)","Car Seat Headrest","Teens of Denial","1","4","337106","spotify:user:12169871666","2020-04-23T20:16:49Z"
"spotify:track:5RdkyZw1KQ1v0EbquUAsx2","Dead Horse","Hayley Williams","Petals For Armor","2","1","199412","spotify:user:12169871666","2020-05-16T02:12:23Z"
