﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:3YKptz29AsOlm7WAVnztBh","Kiss from a Rose","Seal","Seal","1","6","288426","spotify:user:12169871666","2020-02-17T19:20:35Z"
"spotify:track:54KFQB6N4pn926IUUYZGzK","To Build A Home","The Cinematic Orchestra, Patrick Watson","Ma Fleur","1","1","371320","spotify:user:12169871666","2020-02-17T19:21:38Z"
"spotify:track:4EDfdYJ7mqXRoWAqzF1PVO","Ojos Así","Shakira","Donde Estan Los Ladrones","1","11","235733","spotify:user:12169871666","2020-02-17T19:23:35Z"
"spotify:track:2elN12zz0lo1GXjRCGhAmC","Vindicated","Dashboard Confessional","Dusk And Summer","1","4","201346","spotify:user:12169871666","2020-02-17T19:23:54Z"
"spotify:track:49wHCjiu34kM3VRgumQ1tJ","Echo Beach","Martha and the Muffins","Metro Music","1","1","219866","spotify:user:12169871666","2020-02-17T19:24:38Z"
"spotify:track:2aQfRMPKZ3RARyJyD12gjv","Bubblegum Bitch","MARINA","Electra Heart","1","1","154666","spotify:user:12169871666","2020-02-17T19:25:57Z"
"spotify:track:3LUWWox8YYykohBbHUrrxd","We R Who We R","Kesha","Cannibal (Expanded Edition)","1","2","204760","spotify:user:12169871666","2020-02-17T19:26:11Z"
"spotify:track:0Oqc0kKFsQ6MhFOLBNZIGX","Doin' Time","Lana Del Rey","Norman Fucking Rockwell!","1","5","202192","spotify:user:12169871666","2020-02-17T19:26:27Z"
"spotify:track:5rXDTihGQ3TkYE3pmraAmH","ROCKSTAR 101","Rihanna, Slash","Rated R","1","5","238893","spotify:user:12169871666","2020-02-17T19:28:22Z"
"spotify:track:6OMvX7ieloQ1qdSwKb5BRD","Lost My Mind","Lily Allen","No Shame","1","5","227973","spotify:user:12169871666","2020-02-17T19:29:07Z"
"spotify:track:0d6bZwEAi1XblGRhnzPfgC","Hey, Ma","Bon Iver","i,i","1","5","216706","spotify:user:12169871666","2020-02-17T19:29:23Z"
"spotify:track:2cbic3TiUENlJX91y67ARR","Skinny Love","Bon Iver","For Emma, Forever Ago","1","3","238520","spotify:user:12169871666","2020-02-17T19:29:27Z"
"spotify:track:1RKUoGiLEbcXN4GY4spQDx","Clint Eastwood","Gorillaz","Gorillaz","1","5","340920","spotify:user:12169871666","2020-02-17T19:29:41Z"
"spotify:track:5ZdrNnYV5VZWds4WXKf8kf","Ignorance","Paramore","Brand New Eyes","1","2","218626","spotify:user:12169871666","2020-02-17T19:30:10Z"
"spotify:track:5NLuC70kZQv8q34QyQa1DP","Fight For Your Right","Beastie Boys","Licensed To Ill","1","7","208653","spotify:user:12169871666","2020-02-17T19:34:28Z"
"spotify:track:4esOae7i4rqTbAu9o5Pxco","Girl on Fire","Alicia Keys","Girl on Fire (Remixes) - EP","1","1","224920","spotify:user:12169871666","2020-02-17T19:35:08Z"
